group,family,genus,species,date
Flowering plants,Brassicaceae,Arabidopsis,Arabidopsis thaliana,2021-06-08
Flowering plants,Brassicaceae,Brassica,Brassica oleracea,2021-06-08
Flowering plants,Brassicaceae,Cakile,Cakile maritima,2021-06-08
Flowering plants,Brassicaceae,Capsella,Capsella bursa-pastoris,2021-06-08
Flowering plants,Brassicaceae,Cardamine,Cardamine flexuosa,2021-06-08
Flowering plants,Brassicaceae,Cardamine,Cardamine pratensis,2021-06-08
Flowering plants,Brassicaceae,Rorippa,Rorippa palustris,2021-06-08
Flowering plants,Butomaceae,Butomus,Butomus umbellatus,2021-06-08
Flowering plants,Buxaceae,Buxus,Buxus sempervirens,2021-06-08
Flowering plants,Cannabaceae,Humulus,Humulus lupulus,2021-06-08
Flowering plants,Caprifoliaceae,Linnaea,Linnaea borealis,2021-06-08
Flowering plants,Caryophyllaceae,Cerastium,Cerastium glomeratum,2021-06-08
Flowering plants,Caryophyllaceae,Dianthus,Dianthus deltoides,2021-06-08
Flowering plants,Caryophyllaceae,Honckenya,Honckenya peploides,2021-06-08
Flowering plants,Caryophyllaceae,Silene,Silene dioica,2021-06-08
Flowering plants,Caryophyllaceae,Silene,Silene latifolia,2021-06-08
Flowering plants,Caryophyllaceae,Stellaria,Stellaria media,2021-06-08
Flowering plants,Celastraceae,Euonymus,Euonymus europaeus,2021-06-08
Flowering plants,Cistaceae,Helianthemum,Helianthemum apenninum,2021-06-08
Flowering plants,Cistaceae,Helianthemum,Helianthemum nummularium,2021-06-08
Flowering plants,Colchicaceae,Colchicum,Colchicum autumnale,2021-06-08
Flowering plants,Convolvulaceae,Calystegia,Calystegia sepium,2021-06-08
Flowering plants,Convolvulaceae,Convolvulus,Convolvulus arvensis,2021-06-08
Flowering plants,Cornaceae,Cornus,Cornus sanguinea,2021-06-08
Flowering plants,Cucurbitaceae,Bryonia,Bryonia dioica,2021-06-08
Flowering plants,Cyperaceae,Carex,Carex bigelowii,2021-06-08
Flowering plants,Cyperaceae,Carex,Carex depauperata,2021-06-08
Flowering plants,Cyperaceae,Carex,Carex pendula,2021-06-08
Flowering plants,Cyperaceae,Schoenoplectus,Schoenoplectus lacustris,2021-06-08
Flowering plants,Diapensiaceae,Diapensia,Diapensia lapponica,2021-06-08
Flowering plants,Dioscoreaceae,Tamus,Tamus communis,2021-06-08
Flowering plants,Dipsacaceae,Knautia,Knautia arvensis,2021-06-08
Flowering plants,Dipsacaceae,Succisa,Succisa pratensis,2021-06-08
Flowering plants,Elaeagnaceae,Hippophae,Hippophae rhamnoides,2021-06-08
Flowering plants,Ericaceae,Andromeda,Andromeda polifolia,2021-06-08
Flowering plants,Ericaceae,Calluna,Calluna vulgaris,2021-06-08
Flowering plants,Ericaceae,Erica,Erica ciliaris,2021-06-08
Flowering plants,Ericaceae,Kalmia,Kalmia procumbens,2021-06-08
Flowering plants,Ericaceae,Vaccinium,Vaccinium myrtillus,2021-06-08
Flowering plants,Ericaceae,Vaccinium,Vaccinium uliginosum,2021-06-08
Flowering plants,Euphorbiaceae,Euphorbia,Euphorbia amygdaloides,2021-06-08
Flowering plants,Euphorbiaceae,Euphorbia,Euphorbia lathyris,2021-06-08
Flowering plants,Euphorbiaceae,Euphorbia,Euphorbia peplus,2021-06-08
Flowering plants,Euphorbiaceae,Mercurialis,Mercurialis annua,2021-06-08
Flowering plants,Euphorbiaceae,Mercurialis,Mercurialis perennis,2021-06-08
Flowering plants,Fabaceae,Lathyrus,Lathyrus japonicus,2021-06-08
Flowering plants,Fabaceae,Lathyrus,Lathyrus linifolius,2021-06-08
Flowering plants,Fabaceae,Lotus,Lotus corniculatus,2021-06-08
Flowering plants,Fabaceae,Medicago,Medicago arabica,2021-06-08
Flowering plants,Fabaceae,Onobrychis,Onobrychis viciifolia,2021-06-08
Flowering plants,Fabaceae,Ononis,Ononis repens,2021-06-08
Flowering plants,Fabaceae,Trifolium,Trifolium pratense,2021-06-08
Flowering plants,Fabaceae,Ulex,Ulex europaeus,2021-06-08
Flowering plants,Fabaceae,Vicia,Vicia cracca,2021-06-08
Flowering plants,Fabaceae,Vicia,Vicia sativa,2021-06-08
Flowering plants,Fagaceae,Fagus,Fagus sylvatica,2021-06-08
Flowering plants,Fagaceae,Quercus,Quercus petraea,2021-06-08
Flowering plants,Geraniaceae,Erodium,Erodium maritimum,2021-06-08
Flowering plants,Geraniaceae,Erodium,Erodium moschatum,2021-06-08
Flowering plants,Geraniaceae,Geranium,Geranium dissectum,2021-06-08
Flowering plants,Geraniaceae,Geranium,Geranium lucidum,2021-06-08
Flowering plants,Geraniaceae,Geranium,Geranium robertianum,2021-06-08
Flowering plants,Geraniaceae,Geranium,Geranium rotundifolium,2021-06-08
Flowering plants,Grossulariaceae,Ribes,Ribes rubrum,2021-06-08
Flowering plants,Hypericaceae,Hypericum,Hypericum perforatum,2021-06-08
Flowering plants,Iridaceae,Iris,Iris pseudacorus,2021-06-08
Flowering plants,Juglandaceae,Juglans,Juglans regia,2021-06-08
Flowering plants,Juncaceae,Juncus,Juncus effusus,2021-06-08
Flowering plants,Juncaceae,Luzula,Luzula sylvatica,2021-06-08
Flowering plants,Lamiaceae,Ballota,Ballota nigra,2021-06-08
Flowering plants,Lamiaceae,Glechoma,Glechoma hederacea,2021-06-08
Flowering plants,Lamiaceae,Lamium,Lamium album,2021-06-08
Flowering plants,Lamiaceae,Lamium,Lamium amplexicaule,2021-06-08
Flowering plants,Lamiaceae,Lamium,Lamium purpureum,2021-06-08
Flowering plants,Lamiaceae,Lycopus,Lycopus europaeus,2021-06-08
Flowering plants,Lamiaceae,Prunella,Prunella vulgaris,2021-06-08
Flowering plants,Lamiaceae,Salvia,Salvia verbenaca,2021-06-08
Flowering plants,Lamiaceae,Scutellaria,Scutellaria galericulata,2021-06-08
Flowering plants,Lamiaceae,Scutellaria,Scutellaria minor,2021-06-08
Flowering plants,Lamiaceae,Stachys,Stachys palustris,2021-06-08
Flowering plants,Lamiaceae,Thymus,Thymus serpyllum,2021-06-08
Flowering plants,Lentibulariaceae,Utricularia,Utricularia vulgaris,2021-06-08
Flowering plants,Lythraceae,Lythrum,Lythrum salicaria,2021-06-08
Flowering plants,Malvaceae,Tilia,Tilia platyphyllos,2021-06-08
Flowering plants,Melanthiaceae,Paris,Paris quadrifolia,2021-06-08
Flowering plants,Menyanthaceae,Nymphoides,Nymphoides peltata,2021-06-08
Flowering plants,Montiaceae,Claytonia,Claytonia perfoliata,2021-06-08
Flowering plants,Myricaceae,Myrica,Myrica gale,2021-06-08
Flowering plants,Oleaceae,Fraxinus,Fraxinus excelsior,2021-06-08
Flowering plants,Oleaceae,Ligustrum,Ligustrum vulgare,2021-06-08
Flowering plants,Onagraceae,Chamaenerion,Chamaenerion angustifolium,2021-06-08
Flowering plants,Onagraceae,Circaea,Circaea lutetiana,2021-06-08
Flowering plants,Orchidaceae,Ophrys,Ophrys apifera,2021-06-08
Flowering plants,Orobanchaceae,Euphrasia,Euphrasia anglica,2021-06-08
Flowering plants,Orobanchaceae,Euphrasia,Euphrasia arctica,2021-06-08
Flowering plants,Orobanchaceae,Euphrasia,Euphrasia confusa,2021-06-08
Flowering plants,Orobanchaceae,Euphrasia,Euphrasia foulaensis,2021-06-08
Flowering plants,Orobanchaceae,Lathraea,Lathraea squamaria,2021-06-08
Flowering plants,Orobanchaceae,Melampyrum,Melampyrum sylvaticum,2021-06-08
Flowering plants,Orobanchaceae,Orobanche,Orobanche hederae,2021-06-08
Flowering plants,Oxalidaceae,Oxalis,Oxalis acetosella,2021-06-08
Flowering plants,Papaveraceae,Chelidonium,Chelidonium majus,2021-06-08
Flowering plants,Papaveraceae,Fumaria,Fumaria muralis,2021-06-08
