genus,family,order,group,county,county_lat,county_lon,taxon_name,collector_number,GS_2C,GS_1C,GS_gb,id,collector_name,collection_location,longitude_decimal,latitude_decimal,collection_date_verbatim
Cornus,Cornaceae,Cornales,Angiosperms,City of Edinburgh,55.9409962118208,-3.19572693194092,Cornus sanguinea,1901,2.61,1.3,1.2714,60113,"Zoe Goodwin, David Bell","City of Edinburgh, Royal Botanic Garden Edinburgh, Inverleith",-3.20916667,55.9652278,12/08/2020
Erodium,Geraniaceae,Geraniales,Angiosperms,City of Edinburgh,55.9409962118208,-3.19572693194092,Erodium maritimum,1904,1.89,0.95,0.9291,60114,"Zoe Goodwin, David Bell","City of Edinburgh, Royal Botanic Garden Edinburgh, Inverleith",-3.20916667,55.9652278,13/08/2020
Helianthemum,Cistaceae,Malvales,Angiosperms,City of Edinburgh,55.9409962118208,-3.19572693194092,Helianthemum nummularium,1880,6.49,3.24,3.16872,60115,Zoe Goodwin,"City of Edinburgh, Royal Botanic Garden Edinburgh, Inverleith",-3.20916667,55.9652278,07/08/2020
Saxifraga,Saxifragaceae,Saxifragales,Angiosperms,City of Edinburgh,55.9409962118208,-3.19572693194092,Saxifraga oppositifolia,1881,3.15,1.57,1.53546,60116,Zoe Goodwin,"City of Edinburgh, Royal Botanic Garden Edinburgh, Inverleith",-3.20916667,55.9652278,07/08/2020
Iris,Iridaceae,Asparagales,Angiosperms,City of Edinburgh,55.9409962118208,-3.19572693194092,Iris pseudacorus,1877,12.15,6.07,5.93646,60117,Zoe Goodwin,"City of Edinburgh, Royal Botanic Garden Edinburgh, Inverleith",-3.20916667,55.9652278,06/08/2020
Hippophae,Elaeagnaceae,Rosales,Angiosperms,City of Edinburgh,55.9409962118208,-3.19572693194092,Hippophae rhamnoides,1873,2.99,1.49,1.45722,60118,Zoe Goodwin,"City of Edinburgh, Royal Botanic Garden Edinburgh, Inverleith",-3.20916667,55.9652278,06/08/2020
Calluna,Ericaceae,Ericales,Angiosperms,City of Edinburgh,55.9409962118208,-3.19572693194092,Calluna vulgaris,1892,1.26,0.63,0.61614,60119,Zoe Goodwin,"City of Edinburgh, Royal Botanic Garden Edinburgh, Inverleith",-3.20916667,55.9652278,07/08/2020
Salix,Salicaceae,Malpighiales,Angiosperms,City of Edinburgh,55.9409962118208,-3.19572693194092,Salix lanata,1889,0.9,0.45,0.4401,60120,Zoe Goodwin,"City of Edinburgh, Royal Botanic Garden Edinburgh, Inverleith",-3.20916667,55.9652278,07/08/2020
Armeria,Plumbaginaceae,Caryophyllales,Angiosperms,City of Edinburgh,55.9409962118208,-3.19572693194092,Armeria maritima,1882,9.25,4.62,4.51836,60121,Zoe Goodwin,"City of Edinburgh, Royal Botanic Garden Edinburgh, Inverleith",-3.20916667,55.9652278,07/08/2020
Danthonia,Poaceae,Poales,Angiosperms,City of Edinburgh,55.9409962118208,-3.19572693194092,Danthonia decumbens,1883,4.59,2.3,2.2494,60122,Zoe Goodwin,"City of Edinburgh, Royal Botanic Garden Edinburgh, Inverleith",-3.20916667,55.9652278,07/08/2020
Briza,Poaceae,Poales,Angiosperms,City of Edinburgh,55.9409962118208,-3.19572693194092,Briza media,1885,6.71,3.36,3.28608,60123,Zoe Goodwin,"City of Edinburgh, Royal Botanic Garden Edinburgh, Inverleith",-3.20916667,55.9652278,07/08/2020
Juniperus,Cupressaceae,Pinales,Gymnosperms,City of Edinburgh,55.9409962118208,-3.19572693194092,Juniperus communis,1886,22.45,11.23,10.98294,60124,Zoe Goodwin,"City of Edinburgh, Royal Botanic Garden Edinburgh, Inverleith",-3.20916667,55.9652278,07/08/2020
Myrica,Myricaceae,Fagales,Angiosperms,City of Edinburgh,55.9409962118208,-3.19572693194092,Myrica gale,1878,0.61,0.3,0.2934,60125,Zoe Goodwin,"City of Edinburgh, Royal Botanic Garden Edinburgh, Inverleith",-3.20916667,55.9652278,06/08/2020
Trollius,Ranunculaceae,Ranunculales,Angiosperms,City of Edinburgh,55.9409962118208,-3.19572693194092,Trollius europaeus,1888,9.97,4.98,4.87044,60126,Zoe Goodwin,"City of Edinburgh, Royal Botanic Garden Edinburgh, Inverleith",-3.20916667,55.9652278,07/08/2020
Dianthus,Caryophyllaceae,Caryophyllales,Angiosperms,City of Edinburgh,55.9409962118208,-3.19572693194092,Dianthus deltoides,1874,0.97,0.48,0.46944,60127,Zoe Goodwin,"City of Edinburgh, Royal Botanic Garden Edinburgh, Inverleith",-3.20916667,55.9652278,06/08/2020
Pinus,Pinaceae,Pinales,Gymnosperms,City of Edinburgh,55.9409962118208,-3.19572693194092,Pinus sylvestris,1876,46.51,23.26,22.74828,60128,Zoe Goodwin,"City of Edinburgh, Royal Botanic Garden Edinburgh, Inverleith",-3.20916667,55.9652278,06/08/2020
Oxalis,Oxalidaceae,Oxalidales,Angiosperms,City of Edinburgh,55.9409962118208,-3.19572693194092,Oxalis acetosella,1879,5.71,2.86,2.79708,60129,Zoe Goodwin,"City of Edinburgh, Royal Botanic Garden Edinburgh, Inverleith",-3.20916667,55.9652278,06/08/2020
Betula,Betulaceae,Fagales,Angiosperms,City of Edinburgh,55.9409962118208,-3.19572693194092,Betula nana,1891,1.09,0.54,0.52812,60130,Zoe Goodwin,"City of Edinburgh, Royal Botanic Garden Edinburgh, Inverleith",-3.20916667,55.9652278,07/08/2020
Juncus,Juncaceae,Poales,Angiosperms,Greater London,51.490777,-0.082497,Juncus effusus,MC 9018,,,,60131,Maarten J. M. Christenhusz,"Greater London, Kingston upon Thames, Canbury Gardens, between Lower Ham Road and the Thames",-0.3051,51.4207,06/08/2020
Verbena,Verbenaceae,Lamiales,Angiosperms,Greater London,51.490777,-0.082497,Verbena officinalis,MC 9017,0.72,0.36,0.35208,60132,Maarten J. M. Christenhusz,"Greater London, Kingston upon Thames, Canbury Gardens, between Lower Ham Road and the Thames",-0.3051,51.4207,06/08/2020
