genus,family,order,group,county,county_lat,county_lon,taxon_name,collector_number,GS_2C,GS_1C,GS_gb,id,collector_name,collection_location,longitude_decimal,latitude_decimal,collection_date_verbatim
Hedera,Araliaceae,Apiales,Angiosperms,Greater London,51.490777,-0.082497,Hedera helix,MC 9099,3.17,1.59,1.55502,60188,Maarten J. M. Christenhusz,"Greater London, Richmond, Petersham Common, near entrance to Petersham Farm, beach woodland.",-0.2989,51.4469,08/09/2020
Suaeda,Amaranthaceae,Caryophyllales,Angiosperms,Greater London,51.490777,-0.082497,Suaeda vera,MC 9106,2.51,1.26,1.23228,60189,Maarten J. M. Christenhusz,"Greater London, RBG Kew, Rock Garden",-0.2896,51.4815,09/09/2020
Ilex,Aquifoliaceae,Aquifoliales,Angiosperms,Greater London,51.490777,-0.082497,Ilex aquifolium,MC 9098,2.07,1.04,1.01712,60190,Maarten J. M. Christenhusz,"Greater London, Richmond, Petersham Common, near entrance to Petersham Farm, beach woodland.",-0.2989,51.4469,08/09/2020
Scrophularia,Scrophulariaceae,Lamiales,Angiosperms,Greater London,51.490777,-0.082497,Scrophularia nodosa,MC 9087,3.2,1.6,1.5648,60191,Maarten J. M. Christenhusz,"Greater London, Kingston upon Thames, Molesey, Home Park, water's edge of Hampton Wick Pond.",-0.317,51.4093,07/09/2020
Chelidonium,Papaveraceae,Ranunculales,Angiosperms,Greater London,51.490777,-0.082497,Chelidonium majus,MC 9086,2.53,1.26,1.23228,60192,Maarten J. M. Christenhusz,"Greater London, Kingston upon Thames, Molesey, Home Park along Horse Fair, junction with Barge Walk",-0.3108,51.4111,07/09/2020
Ranunculus,Ranunculaceae,Ranunculales,Angiosperms,Greater London,51.490777,-0.082497,Ranunculus acris,MC 9105,9.88,4.94,4.83132,60193,Maarten J. M. Christenhusz,"Greater London, RBG Kew, Arboretum, edge of bed 226, under trees.",-0.299,51.48,08/09/2020
Euonymus,Celastraceae,Celastrales,Angiosperms,Greater London,51.490777,-0.082497,Euonymus europaeus,MC 9104,1.19,0.59,0.57702,60194,Maarten J. M. Christenhusz,"Greater London, RBG Kew, Arboretum. Origin: Suffolk, Bury St. Edmunds, Pakenham, roadside in hedgerow",-0.2979,51.4808,08/09/2020
Chamaenerion,Onagraceae,Myrtales,Angiosperms,Greater London,51.490777,-0.082497,Chamaenerion angustifolium,MC 9103,1.71,0.85,0.8313,60195,Maarten J. M. Christenhusz,"Greater London, RBG Kew, back of bed 242, weedy vegetation between trees with willow herb",-0.2962,51.4805,08/09/2020
Polygonum,Polygonaceae,Caryophyllales,Angiosperms,Greater London,51.490777,-0.082497,Polygonum aviculare,MC 9102,1.86,0.93,0.90954,60196,Maarten J. M. Christenhusz,"Greater London, RBG Kew, weed in bed 124 under big maple Acer platanoides 1969-10345.",-0.2936,51.4812,08/09/2020
Geranium,Geraniaceae,Geraniales,Angiosperms,Greater London,51.490777,-0.082497,Geranium robertianum,MC 9101,2.64,1.32,1.29096,60197,Maarten J. M. Christenhusz,"Greater London, RBG Kew, Jodrell Gate, along wall at the parking. ",-0.2878,51.482,08/09/2020
Scutellaria,Lamiaceae,Lamiales,Angiosperms,Greater London,51.490777,-0.082497,Scutellaria galericulata,SM 20,0.8,0.4,0.3912,60198,Sahr Mian,"Greater London, RBG Kew, Jodrell Laboratory Glasshouses, grown from seed from Millennium Seed Bank",-0.2877,51.4825,10/09/2020
Galium,Rubiaceae,Gentianales,Angiosperms,Greater London,51.490777,-0.082497,Galium aparine,MC 9094,2.16,1.08,1.05624,60199,Maarten J. M. Christenhusz,"Greater London, Kingston upon Thames, Wolsey Drive, Tudor Allotment Association.",-0.3003,51.4262,07/09/2020
Clematis,Ranunculaceae,Ranunculales,Angiosperms,Greater London,51.490777,-0.082497,Clematis vitalba,MC 9093,19.09,9.54,9.33012,60200,Maarten J. M. Christenhusz,"Greater London, Kingston upon Thames, corner of Sury Basin and Skerne Road,Seven Kings Car Park",-0.3051,51.415,07/09/2020
Buxus,Buxaceae,Buxales,Angiosperms,Greater London,51.490777,-0.082497,Buxus sempervirens,MC 9100,1.82,0.91,0.88998,60201,Maarten J. M. Christenhusz,"Greater London, RBG Kew conservation area 310, along the woodland boardwalk. Origin: Greater London, Box Hill",-0.3058,51.4744,08/09/2020
Scutellaria,Lamiaceae,Lamiales,Angiosperms,Greater London,51.490777,-0.082497,Scutellaria minor,SM 21,0.84,0.42,0.41076,60202,Sahr Mian,"Greater London, RBG Kew, Jodrell Laboratory Glasshouses, grown from seed from Millennium Seed Bank.",-0.2877,51.4825,10/09/2020
Typha,Typhaceae,Poales,Angiosperms,Greater London,51.490777,-0.082497,Typha latifolia,MC 9085,0.6,0.3,0.2934,60203,Maarten J. M. Christenhusz,"Greater London, RBG Kew, rock garden. Origin: Sussex, Wakehurst Place, margin of Car Park Pond",-0.2896,51.4815,03/09/2020
Sarracenia,Sarraceniaceae,Ericales,Angiosperms,Greater London,51.490777,-0.082497,Sarracenia purpurea,MC 9084,8.12,4.06,3.97068,60204,Maarten J. M. Christenhusz,"Greater London, RBG Kew, rock garden. Origin: Dorset, Wareham, LowerHyde Bog",-0.2896,51.4815,03/09/2020
Acer,Sapindaceae,Sapindales,Angiosperms,Greater London,51.490777,-0.082497,Acer campestre,MC 9097,,,,60205,Maarten J. M. Christenhusz,"Greater London, Richmond, Petersham Common, near entrance to Petersham Farm, beach woodland.",-0.2989,51.4469,08/09/2020
Buddleja,Scrophulariaceae,Lamiales,Angiosperms,Greater London,51.490777,-0.082497,Buddleja davidii,MC 9096,3.16,1.58,1.54524,60206,Maarten J. M. Christenhusz,"Greater London, Kingston upon Thames, Barge Walk, Barge Dock parking, Venturer Pier",-0.3077,51.4136,07/09/2020
Impatiens,Balsaminaceae,Ericales,Angiosperms,Greater London,51.490777,-0.082497,Impatiens glandulifera,MC 9095,2.04,1.02,0.99756,60207,Maarten J. M. Christenhusz,"Greater London, Richmond, Buccleuch Passage, along the Thames in shrubbery.",-0.3026,51.4529,07/09/2020
Lathyrus,Fabaceae,Fabales,Angiosperms,Greater London,51.490777,-0.082497,Lathyrus linifolius,MC 9083,11.78,5.89,5.76042,60208,Maarten J. M. Christenhusz,"Greater London, RBG Kew, rock garden. Origin: Mardale Mountain Meadow below Harter Fell",-0.2896,51.4815,03/09/2020
Carex,Cyperaceae,Poales,Angiosperms,Greater London,51.490777,-0.082497,Carex depauperata,MC 9082,1.77,0.88,0.86064,60209,Maarten J. M. Christenhusz,"Greater London, RBG Kew, rock garden. ",-0.2896,51.4815,03/09/2020
Viscum,Santalaceae,Santalales,Angiosperms,Greater London,51.490777,-0.082497,Viscum album,MC 9090,177.8,88.9,86.9442,60210,Maarten J. M. Christenhusz,"Greater London, Kingston upon Thames, Molesey, Home Park, on planted trees along Hampton Court Rd.",-0.3319,51.4061,07/09/2020
Schoenoplectus,Cyperaceae,Poales,Angiosperms,Greater London,51.490777,-0.082497,Schoenoplectus lacustris,MC 9070,1.34,0.67,0.65526,60211,Maarten J. M. Christenhusz,"Greater London, RBG Kew, aquatic garden. Origin: Wales, Glamorgan, Pile Bredgend, Frog Pond",-0.2885,51.4823,01/09/2020
Aponogeton,Aponogetonaceae,Alismatales,Angiosperms,Greater London,51.490777,-0.082497,Aponogeton distachyos,MC 9067,10.59,5.3,5.1834,60212,Maarten J. M. Christenhusz,"Greater London, RBG Kew, aquatic garden.",-0.2885,51.4823,01/09/2020
Helianthemum,Cistaceae,Malvales,Angiosperms,Greater London,51.490777,-0.082497,Helianthemum apenninum,MC 9079,6.34,3.17,3.10026,60213,Maarten J. M. Christenhusz,"Greater London, RBG Kew, rock garden. Origin: Somerset, Brean Down, 97 m.",-0.2896,51.4815,03/09/2020
Nymphoides,Menyanthaceae,Asterales,Angiosperms,Greater London,51.490777,-0.082497,Nymphoides peltata,MC 9066,1.76,0.88,0.86064,60214,Maarten J. M. Christenhusz,"Greater London, RBG Kew, aquatic garden.",-0.2885,51.4823,01/09/2020
Geum,Rosaceae,Rosales,Angiosperms,Greater London,51.490777,-0.082497,Geum rivale,MC 9077,2.58,1.29,1.26162,60215,Maarten J. M. Christenhusz,"Greater London, RBG Kew, rock garden. Origin: Gully within N face of Riggindale Fell",-0.2896,51.4815,03/09/2020
Erica,Ericaceae,Ericales,Angiosperms,Greater London,51.490777,-0.082497,Erica ciliaris,MC 9080,1.05,0.53,0.51834,60216,Maarten J. M. Christenhusz,"Greater London, RBG Kew, rock garden. Origin: Dorset, Wytch Heath, near Wareham",-0.2896,51.4815,03/09/2020
Veronica,Plantaginaceae,Lamiales,Angiosperms,Greater London,51.490777,-0.082497,Veronica spicata,MC 9081,3.33,1.66,1.62348,60217,Maarten J. M. Christenhusz,"Greater London, RBG Kew, rock garden. Origin: Somerset, Bristol, Avon Gorge.",-0.2896,51.4815,03/09/2020
Viola,Violaceae,Malpighiales,Angiosperms,Greater London,51.490777,-0.082497,Viola riviniana,MC 9078,2.73,1.36,1.33008,60218,Maarten J. M. Christenhusz,"Greater London, RBG Kew, rock garden. Origin: North Cambridgeshire",-0.2896,51.4815,03/09/2020
Butomus,Butomaceae,Alismatales,Angiosperms,Greater London,51.490777,-0.082497,Butomus umbellatus,MC 9069,8.69,4.35,4.2543,60219,Maarten J. M. Christenhusz,"Greater London, RBG Kew, aquatic garden.",-0.2885,51.4823,01/09/2020
Tanacetum,Asteraceae,Asterales,Angiosperms,Greater London,51.490777,-0.082497,Tanacetum vulgare,MC 9065,10.4,5.2,5.0856,60220,Maarten J. M. Christenhusz,"Greater London, Kingston upon Thames, along towparth between Northweald Lane, Ham and the Thames",-0.3121,51.4282,01/09/2020
Hypericum,Hypericaceae,Malpighiales,Angiosperms,Greater London,51.490777,-0.082497,Hypericum perforatum,MC 9064,1.62,0.81,0.79218,60221,Maarten J. M. Christenhusz,"Greater London, Kingston upon Thames, along towparth between Northweald Lane, Ham and the Thames ",-0.3121,51.4282,01/09/2020
Linaria,Plantaginaceae,Lamiales,Angiosperms,Greater London,51.490777,-0.082497,Linaria vulgaris,MC 9063,1.93,0.96,0.93888,60222,Maarten J. M. Christenhusz,"Greater London, Kingston upon Thames, along towparth between Northweald Lane, Ham and the Thames",-0.3121,51.4282,01/09/2020
Plantago,Plantaginaceae,Lamiales,Angiosperms,Greater London,51.490777,-0.082497,Plantago lanceolata,MC 9062,2.92,1.46,1.42788,60223,Maarten J. M. Christenhusz,"Greater London, RBG Kew, in lawn between bed 182-09 and 182-03.",-0.2946,51.4784,28/08/2020
Bellis,Asteraceae,Asterales,Angiosperms,Greater London,51.490777,-0.082497,Bellis perennis,MC 9061,3.56,1.78,1.74084,60224,Maarten J. M. Christenhusz,"Greater London, RBG Kew, in lawn between bed 182-09 and 182-03.",-0.2946,51.4784,28/08/2020
Pontederia,Pontederiaceae,Commelinales,Angiosperms,Greater London,51.490777,-0.082497,Pontederia cordata,MC 9068,1.4,0.7,0.6846,60225,Maarten J. M. Christenhusz,"Greater London, RBG Kew, aquatic garden.",-0.2885,51.4823,01/09/2020
Thymus,Lamiaceae,Lamiales,Angiosperms,Greater London,51.490777,-0.082497,Thymus serpyllum,MC 9076,2.54,1.27,1.24206,60226,Maarten J. M. Christenhusz,"Greater London, RBG Kew, rock garden. Origin: Norfolk, Grimes Graves",-0.2896,51.4815,03/09/2020
Anemone,Ranunculaceae,Ranunculales,Angiosperms,Greater London,51.490777,-0.082497,Anemone pulsatilla,MC 9075,,,,60227,Maarten J. M. Christenhusz,"Greater London, RBG Kew, rock garden. Origin: Cambridgeshire, Barnack, ancient disused stone quarry",-0.2896,51.4815,03/09/2020
Comarum,Rosaceae,Rosales,Angiosperms,Greater London,51.490777,-0.082497,Comarum palustre,MC 9074,1.4,0.7,0.6846,60228,Maarten J. M. Christenhusz,"Greater London, RBG Kew, rock garden. Origin: Scotland, Invernesshire, Arisaig",-0.2896,51.4815,03/09/2020
Lysimachia,Primulaceae,Ericales,Angiosperms,Greater London,51.490777,-0.082497,Lysimachia vulgaris,MC 9073,4.61,2.31,2.25918,60229,Maarten J. M. Christenhusz,"Greater London, RBG Kew, rock garden. Origin: England, Hampshire, nr Aldershot, Ashvale, Mychett Lake",-0.2896,51.4815,03/09/2020
Ballota,Lamiaceae,Lamiales,Angiosperms,Greater London,51.490777,-0.082497,Ballota nigra,MC 9072,2.91,1.45,1.4181,60230,Maarten J. M. Christenhusz,"Greater London, RBG Kew, weed at the Lower Nursery, in gravel beside one of the greenhouses.",-0.2972,51.4826,02/09/2020
Lamium,Lamiaceae,Lamiales,Angiosperms,Greater London,51.490777,-0.082497,Lamium album,MC 9071,1.94,0.97,0.94866,60231,Maarten J. M. Christenhusz,"Greater London, Richmond, Petersham Meadows, end of River Lane, along the towpath, Thames",-0.3055,51.4488,02/09/2020
Viscum,Santalaceae,Santalales,Angiosperms,City of Edinburgh,55.9409962118208,-3.19572693194092,Viscum album,1480,,,,60232,David Bell,"City of Edinburgh, Scotland; National Gallery",-3.223566,55.952054,Nov.2020
Hedera,Araliaceae,Apiales,Angiosperms,City of Edinburgh,55.9409962118208,-3.19572693194092,Hedera helix,1481,,,,60233,David Bell,"City of Edinburgh, Royal Botanic Garden Edinburgh, Inverleith",-3.201966,55.964173,Nov.2020
Lotus,Fabaceae,Fabales,Angiosperms,City of Edinburgh,55.9409962118208,-3.19572693194092,Lotus corniculatus,1884,2.73,1.36,1.33008,60234,Zoe Goodwin,"City of Edinburgh, Royal Botanic Garden Edinburgh, Inverleith",-3.20916667,55.9652278,07/08/2020
Ulex,Fabaceae,Fabales,Angiosperms,Scottish Borders,55.564137,-2.746408,Ulex europaeus,1485,,,,60235,David Bell,"Scottish Borders, Spottiswoode",-2.633154,55.744922,03/12/2020
Sphagnum,Sphagnaceae,Sphagnopsid_moss,Bryophytes,Scottish Borders,55.564137,-2.746408,Sphagnum fallax,EDTOL1,,,,60236,David G Long,"Scottish Borders, Spottiswoode Forest",-2.631136,55.740286,25/08/2019
Dicranum,Dicranaceae,Undeter_peristomate_moss,Bryophytes,Scottish Borders,55.564137,-2.746408,Dicranum scoparium,EDTOL2,,,,60237,David G Long,"Scottish Borders, Spottiswoode Forest",-2.631136,55.740286,25/08/2019
Encalypta,Encalyptaceae,Undeter_peristomate_moss,Bryophytes,Scottish Borders,55.564137,-2.746408,Encalypta streptocarpa,1467,0.99,0.49,0.483343994,60243,"David Bell, David G Long","Scottish Borders, Spottiswoode House",-2.633195,55.740563,30/10/2020
Calliergonella,Hypnaceae,Undeter_peristomate_moss,Bryophytes,Scottish Borders,55.564137,-2.746408,Calliergonella cuspidata,1468,0.82,0.41,0.401327842,60245,"David Bell, David G Long","Scottish Borders, Spottiswoode House",-2.633195,55.740563,30/10/2020
Anomodon,Thuidiaceae,Undeter_peristomate_moss,Bryophytes,Scottish Borders,55.564137,-2.746408,Anomodon viticulosus,1469,0.92,0.46,0.45099507,60246,"David Bell, David G Long","Scottish Borders, Spottiswoode House",-2.633195,55.740563,30/10/2020
Dicranella,Dicranaceae,Undeter_peristomate_moss,Bryophytes,Scottish Borders,55.564137,-2.746408,Dicranella heteromalla,1473,0.72,0.36,0.353175386,60248,"David Bell, David G Long","Scottish Borders, Spottiswoode",-2.630054,55.743356,30/10/2020
Plagiomnium,Mniaceae,Undeter_peristomate_moss,Bryophytes,City of Edinburgh,55.9409962118208,-3.19572693194092,Plagiomnium undulatum,1412,2.27,1.13,1.108548811,60251,David Bell,"City of Edinburgh, Royal Botanic Garden Edinburgh",-3.21125,55.96577778,18/08/2020
Kindbergia,Brachytheciaceae,Undeter_peristomate_moss,Bryophytes,City of Edinburgh,55.9409962118208,-3.19572693194092,Kindbergia praelonga,1411,0.83,0.41,0.404885401,60252,David Bell,"City of Edinburgh, Royal Botanic Garden Edinburgh",-3.21125,55.96577778,18/08/2020
Rhytidiadelphus,Hylocomiaceae,Undeter_peristomate_moss,Bryophytes,Scottish Borders,55.564137,-2.746408,Rhytidiadelphus squarrosus,1436,0.86,0.43,0.420194083,60253,David Bell,"Scottish Borders, Talla and Gameshope Borders Forest Trust Res., Donald's Cleuch and Games Hope",-3.36026,55.444053,23/09/2020
Sanionia,Amblystegiaceae,Undeter_peristomate_moss,Bryophytes,Scottish Borders,55.564137,-2.746408,Sanionia uncinata,1474,1.55,0.78,0.758326251,60255,"David Bell, David G Long","Scottish Borders, Spottiswoode",-2.630392,55.743543,30/10/2020
Plagiothecium,Plagiotheciaceae,Undeter_peristomate_moss,Bryophytes,Scottish Borders,55.564137,-2.746408,Plagiothecium undulatum,1476,1.06,0.53,0.518296459,60256,"David Bell, David G Long","Scottish Borders, Spottiswoode",-2.632696,55.744133,30/10/2020
Sphagnum,Sphagnaceae,Sphagnopsid_moss,Bryophytes,Scottish Borders,55.564137,-2.746408,Sphagnum inundatum,1478,1.82,0.91,0.888991118,60257,"David Bell, David G Long","Scottish Borders, Spottiswoode",-2.634482,55.746209,30/10/2020
Plagiothecium,Plagiotheciaceae,Undeter_peristomate_moss,Bryophytes,Scottish Borders,55.564137,-2.746408,Plagiothecium denticulatum,1477,1.02,0.51,0.497924902,60258,"David Bell, David G Long","Scottish Borders, Spottiswoode",-2.633007,55.747636,30/10/2020
Pogonatum,Polytrichaceae,Undeter_peristomate_moss,Bryophytes,Scottish Borders,55.564137,-2.746408,Pogonatum urnigerum,1479,1.21,0.61,0.592881719,60259,"David Bell, David G Long","Scottish Borders, Spottiswoode",-2.636142,55.745428,30/10/2020
Hylocomiadelphus,Hylocomiaceae,Undeter_peristomate_moss,Bryophytes,Scottish Borders,55.564137,-2.746408,Hylocomiadelphus triquetrus,1439,1.16,0.58,0.568077542,60260,"David Bell, Elizabeth Kungu","Scottish Borders, Dawyck Botanic Garden, by path to Dawyck Chapel",-3.320203,55.602282,01/10/2020
Rhytidiadelphus,Hylocomiaceae,Undeter_peristomate_moss,Bryophytes,Scottish Borders,55.564137,-2.746408,Rhytidiadelphus loreus,1440,1.04,0.52,0.506824141,60261,"David Bell, Elizabeth Kungu","Scottish Borders, Dawyck Botanic Garden, by path to Dawyck Chapel",-3.320203,55.602282,01/10/2020
Hypnum,Hypnaceae,Undeter_peristomate_moss,Bryophytes,Scottish Borders,55.564137,-2.746408,Hypnum andoi,1442,0.74,0.37,0.36336771,60262,"David Bell, Elizabeth Kungu","Scottish Borders, Dawyck Botanic Garden, by track behind Dawyck Chapel",-3.321536,55.600865,01/10/2020
Hypnum,Hypnaceae,Undeter_peristomate_moss,Bryophytes,Scottish Borders,55.564137,-2.746408,Hypnum cupressiforme,1443,0.87,0.43,0.423573421,60263,"David Bell, Elizabeth Kungu","Scottish Borders, Dawyck Botanic Garden, by track behind Dawyck Chapel",-3.321536,55.600865,01/10/2020
Didymodon,Pottiaceae,Undeter_peristomate_moss,Bryophytes,Scottish Borders,55.564137,-2.746408,Didymodon insulanus,1441,0.7,0.35,0.340423534,60264,"David Bell, Elizabeth Kungu","Scottish Borders, Dawyck Botanic Garden, by track behind Dawyck Chapel",-3.321536,55.600865,01/10/2020
Thuidium,Thuidiaceae,Undeter_peristomate_moss,Bryophytes,Scottish Borders,55.564137,-2.746408,Thuidium tamariscinum,1445,0.87,0.44,0.426270662,60266,"David Bell, Elizabeth Kungu","Scottish Borders, Dawyck Botanic Garden, Upper Scrape Glen on path above Scrape Burn",-3.319105,55.59984,01/10/2020
Homalothecium,Brachytheciaceae,Undeter_peristomate_moss,Bryophytes,Scottish Borders,55.564137,-2.746408,Homalothecium sericeum,1451,1.01,0.5,0.492713004,60268,"David Bell, Elizabeth Kungu","Scottish Borders, Dawyck Botanic Garden, Hillside above Dawyck House",-3.314618,55.603339,01/10/2020
Neckera,Neckeraceae,Undeter_peristomate_moss,Bryophytes,Scottish Borders,55.564137,-2.746408,Neckera pumila,1447,0.87,0.43,0.424441975,60269,"David Bell, Elizabeth Kungu","Scottish Borders, Dawyck Botanic Garden, Scrape Burn",-3.319268,55.600458,01/10/2020
Isothecium,Brachytheciaceae,Undeter_peristomate_moss,Bryophytes,Scottish Borders,55.564137,-2.746408,Isothecium myosuroides,1448,0.92,0.46,0.449952,60270,"David Bell, Elizabeth Kungu","Scottish Borders, Dawyck Botanic Garden, Cryptogamic Sanctuary",-3.317307,55.60021,01/10/2020
Isothecium,Brachytheciaceae,Undeter_peristomate_moss,Bryophytes,Scottish Borders,55.564137,-2.746408,Isothecium alopecuroides,1449,1.04,0.52,0.506376825,60271,"David Bell, Elizabeth Kungu","Scottish Borders, Dawyck Botanic Garden, Cryptogamic Sanctuary",-3.317307,55.60021,01/10/2020
Pulvigera,,,Bryophytes,Scottish Borders,55.564137,-2.746408,Pulvigera lyellii,1450,,,,60272,"David Bell, Elizabeth Kungu","Scottish Borders, Dawyck Botanic Garden, Hillside above Dawyck House",-3.315163,55.60301,01/10/2020
Zygodon,Orthotrichaceae,Undeter_peristomate_moss,Bryophytes,Scottish Borders,55.564137,-2.746408,Zygodon viridissimus,1452,0.62,0.31,0.303430005,60273,"David Bell, Elizabeth Kungu","Scottish Borders, Dawyck Botanic Garden, Hillside above Dawyck House",-3.314618,55.603339,01/10/2020
Thamnobryum,Neckeraceae,Undeter_peristomate_moss,Bryophytes,Scottish Borders,55.564137,-2.746408,Thamnobryum alopecurum,1453,0.96,0.48,0.470802689,60274,"David Bell, Elizabeth Kungu","Scottish Borders, Dawyck Botanic Garden, Lower Scrape Glen, footbridge by Dynamo House",-3.318909,55.602511,01/10/2020
Palustriella,Amblystegiaceae,Undeter_peristomate_moss,Bryophytes,Dumfries and Galloway,55.012952,-4.118686,Palustriella commutata,1454,0.74,0.37,0.361794356,60275,"David Bell, David G Long","Dumfries and Galloway, Carrifran Wildwood, Carrifran Burn below Dun Knowe",-3.328565,55.397154,16/10/2020
Campylium,Amblystegiaceae,Undeter_peristomate_moss,Bryophytes,Dumfries and Galloway,55.012952,-4.118686,Campylium stellatum,1455,0.86,0.43,0.422040265,60276,"David Bell, David G Long","Dumfries and Galloway, Carrifran Wildwood, Carrifran Burn below Dun Knowe",-3.328565,55.397154,16/10/2020
Schistidium,Grimmiaceae,Undeter_peristomate_moss,Bryophytes,Dumfries and Galloway,55.012952,-4.118686,Schistidium strictum,1456,0.62,0.31,0.305280686,60277,"David Bell, David G Long","Dumfries and Galloway, Carrifran Wildwood, Raven Craig",-3.352473,55.407776,16/10/2020
Ctenidium,Hypnaceae,Undeter_peristomate_moss,Bryophytes,Dumfries and Galloway,55.012952,-4.118686,Ctenidium molluscum,1457,0.85,0.42,0.414880778,60278,"David Bell, David G Long","Dumfries and Galloway, Carrifran Wildwood, Raven Craig",-3.352473,55.407776,16/10/2020
Tortella,Pottiaceae,Undeter_peristomate_moss,Bryophytes,Dumfries and Galloway,55.012952,-4.118686,Tortella tortuosa,1458,0.73,0.37,0.35917326,60279,"David Bell, David G Long","Dumfries and Galloway, Carrifran Wildwood, Raven Craig",-3.352473,55.407776,16/10/2020
Thuidium,Thuidiaceae,Undeter_peristomate_moss,Bryophytes,Dumfries and Galloway,55.012952,-4.118686,Thuidium delicatulum,1459,0.84,0.42,0.409074289,60280,"David Bell, David G Long","Dumfries and Galloway, Carrifran Wildwood, Raven Craig",-3.350373,55.409174,16/10/2020
Neckera,Neckeraceae,Undeter_peristomate_moss,Bryophytes,Dumfries and Galloway,55.012952,-4.118686,Neckera crispa,1460,1.07,0.54,0.523555149,60281,"David Bell, David G Long","Dumfries and Galloway, Carrifran Wildwood, Raven Craig",-3.350214,55.410084,16/10/2020
Grimmia,Grimmiaceae,Undeter_peristomate_moss,Bryophytes,Dumfries and Galloway,55.012952,-4.118686,Grimmia ramondii,1462,0.57,0.29,0.280690873,60283,"David Bell, David G Long","Dumfries and Galloway, Carrifran Wildwood, Raven Craig",-3.350214,55.410084,16/10/2020
Ptilium,Hypnaceae,Undeter_peristomate_moss,Bryophytes,Dumfries and Galloway,55.012952,-4.118686,Ptilium crista-castrensis,1463,0.87,0.43,0.423297874,60284,"David Bell, David G Long","Dumfries and Galloway, Carrifran Wildwood, Raven Craig",-3.350612,55.411095,16/10/2020
Palustriella,Amblystegiaceae,Undeter_peristomate_moss,Bryophytes,Dumfries and Galloway,55.012952,-4.118686,Palustriella falcata,1464,0.66,0.33,0.321986848,60285,"David Bell, David G Long","Dumfries and Galloway, Carrifran Wildwood, Carrifran Burn below Dun Knowe",-3.328565,55.397154,16/10/2020
Scorpidium,Amblystegiaceae,Undeter_peristomate_moss,Bryophytes,Dumfries and Galloway,55.012952,-4.118686,Scorpidium revolvens,1465,1.32,0.66,0.645283919,60286,"David Bell, David G Long","Dumfries and Galloway, Carrifran Wildwood, Carrifran Burn below Dun Knowe",-3.328565,55.397154,16/10/2020
Dichodontium,Dicranaceae,Undeter_peristomate_moss,Bryophytes,Scottish Borders,55.564137,-2.746408,Dichodontium palustre,1415,0.63,0.32,0.31016995,60287,David Bell,"Scottish Borders, Talla & Gameshope Borders Forest Trust Res., Donald's Cleuch",-3.354083333,55.44338889,04/09/2020
Scorpidium,Amblystegiaceae,Undeter_peristomate_moss,Bryophytes,Scottish Borders,55.564137,-2.746408,Scorpidium cossonii,1419,,,,60288,David Bell,"Scottish Borders, Talla & Gameshope Borders Forest Trust Res., Donald's Cleuch",-3.347194444,55.44061111,04/09/2020
Sarmentypnum,Amblystegiaceae,Undeter_peristomate_moss,Bryophytes,Scottish Borders,55.564137,-2.746408,Sarmentypnum exannulatum,1420,,,,60289,David Bell,"Scottish Borders, Talla & Gameshope Borders Forest Trust Res., Donald's Cleuch below Great Hill",-3.343472222,55.43336111,04/09/2020
Amphidium,Orthotrichaceae,Undeter_peristomate_moss,Bryophytes,Scottish Borders,55.564137,-2.746408,Amphidium mougeotii,1426,0.68,0.34,0.33194198,60290,David Bell,"Scottish Borders, Talla & Gameshope Borders Forest Trust Res., Games Hope opposite bothy",-3.367722222,55.4535,04/09/2020
Bryum,Bryaceae,Undeter_peristomate_moss,Bryophytes,Scottish Borders,55.564137,-2.746408,Bryum alpinum,1427,,,,60291,David Bell,"Scottish Borders, Talla & Gameshope Borders Forest Trust Res., Games Hope opposite bothy",-3.367722222,55.4535,04/09/2020
Bryum,Bryaceae,Undeter_peristomate_moss,Bryophytes,Scottish Borders,55.564137,-2.746408,Bryum julaceum,1428,0.83,0.41,0.403945256,60292,David Bell,"Scottish Borders, Talla & Gameshope Borders Forest Trust Res., Games Hope Burn nr March Sike",-3.374236,55.462222,23/09/2020
Aulacomnium,Aulacomniaceae,Undeter_peristomate_moss,Bryophytes,Scottish Borders,55.564137,-2.746408,Aulacomnium palustre,1438,0.78,0.39,0.381886188,60295,David Bell,"Scottish Borders, Talla & Gameshope Borders Forest Trust Res., Games Hope below Carlavin Hill",-3.364654,55.452281,23/09/2020
Polytrichum,Polytrichaceae,Undeter_peristomate_moss,Bryophytes,Scottish Borders,55.564137,-2.746408,Polytrichum commune,1422,,,,60296,David Bell,"Scottish Borders, Talla & Gameshope Borders Forest Trust Res., Donald's Cleuch and Games Hope",-3.359,55.44380556,04/09/2020
Diplophyllum,Scapaniaceae,Undetermined_liverwort_order,Bryophytes,Scottish Borders,55.564137,-2.746408,Diplophyllum albicans,1416,,,,60297,David Bell,"Scottish Borders, Talla & Gameshope Borders Forest Trust Res., Donald's Cleuch",-3.352972222,55.44305556,04/09/2020
Philonotis,Bartramiaceae,Undeter_peristomate_moss,Bryophytes,Scottish Borders,55.564137,-2.746408,Philonotis fontana,1417,0.7,0.35,0.340973542,60299,David Bell,"Scottish Borders, Talla & Gameshope Borders Forest Trust Res., Donald's Cleuch",-3.352972222,55.44305556,04/09/2020
