order_copo,family_copo,genus_copo,taxon_name,collector_number,latitude_decimal,longitude_decimal,collection_date_verbatim
Marchantiales,Conocephalaceae,Conocephalum,Conocephalum conicum,EDTOL5a,56.012186,-2.65449,2019-10-03
Marchantiales,Conocephalaceae,Conocephalum,Conocephalum conicum,EDTOL5a,56.012186,-2.65449,2019-10-03
Marchantiales,Conocephalaceae,Conocephalum,Conocephalum conicum,EDTOL5b,56.012186,-2.65449,2019-10-03
Marchantiales,Conocephalaceae,Conocephalum,Conocephalum conicum,EDTOL5b,56.012186,-2.65449,2019-10-03
Marchantiales,Conocephalaceae,Conocephalum,Conocephalum conicum,EDTOL5c,56.012186,-2.65449,2019-10-03
Marchantiales,Conocephalaceae,Conocephalum,Conocephalum conicum,EDTOL5d,56.012186,-2.65449,2019-10-03
Jungermanniales,ANASTROPHYLLACEAE,Neoorthocaulis,Neoorthocaulis floerkei,EDTOL3,55.740286,-2.631136,2019-08-25
Jungermanniales,ANASTROPHYLLACEAE,Neoorthocaulis,Neoorthocaulis floerkei,EDTOL3,55.740286,-2.631136,2019-08-25
Jungermanniales,ANASTROPHYLLACEAE,Neoorthocaulis,Neoorthocaulis floerkei,EDTOL3,55.740286,-2.631136,2019-08-25
Jungermanniales,ANASTROPHYLLACEAE,Neoorthocaulis,Neoorthocaulis floerkei,EDTOL3,55.740286,-2.631136,2019-08-25
Jungermanniales,ANASTROPHYLLACEAE,Neoorthocaulis,Neoorthocaulis floerkei,EDTOL3,55.740286,-2.631136,2019-08-25
Jungermanniales,ANASTROPHYLLACEAE,Neoorthocaulis,Neoorthocaulis floerkei,EDTOL3,55.740286,-2.631136,2019-08-25
Jungermanniales,ANASTROPHYLLACEAE,Neoorthocaulis,Neoorthocaulis floerkei,EDTOL3,55.740286,-2.631136,2019-08-25
Jungermanniales,ANASTROPHYLLACEAE,Neoorthocaulis,Neoorthocaulis floerkei,EDTOL3,55.740286,-2.631136,2019-08-25
Jungermanniales,ANASTROPHYLLACEAE,Neoorthocaulis,Neoorthocaulis floerkei,EDTOL3,55.740286,-2.631136,2019-08-25
Jungermanniales,Scapaniaceae,Diplophyllum,Diplophyllum albicans,D. Bell 1416,55.44305556,-3.352972222,2020-09-04
Jungermanniales,Scapaniaceae,Diplophyllum,Diplophyllum albicans,D. Bell 1416,55.44305556,-3.352972222,2020-09-04
Ptilidiales,Ptilidiaceae,Ptilidium,Ptilidium ciliare,D. Bell 1435,55.444053,-3.36026,2020-09-23
Ptilidiales,Ptilidiaceae,Ptilidium,Ptilidium ciliare,D. Bell 1435,55.444053,-3.36026,2020-09-23
Porellales,Frullaniaceae,Frullania,Frullania tamarisci,D. Bell 1433,55.462222,-3.374236,2020-09-23
Porellales,Frullaniaceae,Frullania,Frullania tamarisci,D. Bell 1433,55.462222,-3.374236,2020-09-23
Jungermanniales,Plagiochilaceae,Plagiochila,Plagiochila porelloides,D. Bell 1434,55.461854,-3.374239,2020-09-23
