species,GB
Pogonatum urnigerum,0.60
Fumaria muralis,0.58
Senecio vulgaris,1.67
Cardamine flexuosa,0.24
Lamium purpureum,0.79
Cerastium glomeratum,0.92
Dicranum scorparium,0.71
Bryum capillare,0.49
Pellia epiphylla,0.32
Mylia taylorii,6.99
Pseudoscleropodium purum,0.40
Orthocaulis floerkei,0.61
Conocephalum salebrosum,
Veronica hederifolia,1.51
Anthriscus sylvestris,1.92
Adoxa moschatellina,15.25
Polytrichum formosum,0.62
Brachythecium rutabulum,0.98
Fissidens sp.,0.47
Neckera crispa,0.50
Dichodontium flavescens,0.25
Jungermannia eucordifolia,0.36
Porella arboris-vitae,1.34
Sciuro-hypnum plumosum,0.42
Ptychomitrium polyphyllum,0.19
Marchantia quadrata,0.87
Cardamine pratensis,0.95
Calendula  officinalis,1.52
Ranunculus bulbosus,5.48
Plantago coronopus,0.68
Capsella bursa-pastrois,0.24
Lathraea squamaria,1.38
Lathraea clandestina,2.27
Berberis aquifolium,1.31
Erodium moschatum,0.94
Pentaglottis sempervirens,1.05
Allium triquetrum,18.55
Dactylis glomerata,4.20
Glechoma hederacea,1.02
Smyrnium perfoliatum,2.80
Bromus sterilis,3.13
Ceratodon purpureus,0.44
Rhynchostegium riparoides,0.42
Bryum pseudotriquetrum,1.02
Fissidens adianthoides,0.73
Dicranum majus,0.80
Racomitrium lanuginosum,0.25
Oligotrichum hercynicum,0.28
Gymnomitrion obtusum,0.40
Hookeria lucens,3.24
Andreaea rothii,0.16
Dicranoweisia cirrata,0.25
Geranium rotundifolium,0.63
Smyrnium olusatrum,3.69
Tussilago farfara,1.73
Allium ursinum,31.19
Daphne mezereum,3.21
Saxifraga granulata,2.65
Hierochloe odorata,4.19
Malus domestica 'Tower of Glamis',1.24
Malus domestica 'Lord Burghley',0.81
Malus domestica 'Irish Peach',0.83
Malus domestica 'Costard',0.83
Malus domestica 'Killerton Sweet',1.22
Arum  maculatum,9.99
Carpinus betulus,1.91
Allium ampeloprasum var babingtonii,50.42
Hygrohypnella ochracea,0.36
Mesoptychia bantriensis,0.34
Blindia acuta,0.18
Gymnostomum aeruginosum,0.33
Amphidium lapponicum,0.33
Tetraplodon mnoides,1.13
Sarmentypnum Sarmentosum,0.40
Pellia endiviifolia,3.68
Kiaeria blyttii,0.32
Ribes rubrum,1.05
Vinca minor,0.87
Utricularia vulgaris,0.24
Paris quadrifolia,51.67
Aesculus hippocastanum,0.62
Fagus sylvatica,0.64
Cruciata laevipes,0.37
Viburnum lantana,4.56
Rhamnus cathartica,0.56
Dioscorea communis,1.06
Daphne laureola,3.27
Colchicum autumnale,5.98
Ribes rubrum,1.01
Bryonia dioica,1.50
Euphorbia amygdaloides,3.46
Crataegus laevigata,0.83
Mercurialis perennis (male),3.06
Mercurialis  perennis (female),2.97
Ulex europaeus,3.54
Hedera helix,1.58
Linularia cruciata,0.73
Silene dioica,3.01
Silene latifolia subsp. alba,3.09
Salix alba,0.92
Alliaria petiolata,1.18
Crataeus monogyna,0.87
Sherardia arvensis,0.58
Salvia verbenaca,1.53
Myosotis sylvatica,0.31
Chrysosplenium oppositifolium,0.58
Nardia scalaris,0.46
Anastrepta orcadensis,0.73
Chionoloma tenuirostre,0.41
Heterocladum heteropterum,0.39
Rhizomnium punctatum,1.52
Trichostomum brachydontium,0.32
Bryoerythrophyllum ferruginascens,0.38
Metzgeria conjugata,1.62
Isopterygiopsis pulchella,0.40
Andrea hookeri,0.26
Fontinalis squamosa,1.20
Scorpidium scorpioides,0.36
Betula pubescens,1.05
Vaccinium myrtillus,0.71
Heracleum mantegazzianum,1.91
Primula scotia,3.82
Hyacinthoides non-scripta,23.91
Daphne laureola,3.23
Myosotis sylvatica,0.30
Ulmus minor,1.98
Hordeum murinum,9.51
Vicia sativa subsp. nigra,2.10
Geranium dissectum,0.68
Knautia arvensis,7.00
Acer pseudoplatanus,1.55
Lepidium draba,1.08
Trifolium pratense,0.47
Carex pendula,0.42
Lamium amplexicaule,0.66
Claytonia perfoliata,2.26
Geranium lucidum,0.83
Sorbus anglica,1.48
Sorbus aria,1.51
Sorbus rupicola,0.92
Sorbus devoniensis,0.78
Tilia platyphyllos,1.18
Berberis vulgaris,1.60
Lysichiton americanus,3.11
Anthoxanthum odoratum,6.44
Artemisia absinthum,1.97
Andromeda polifolia,1.11
Malus domestica 'Newton's apple',1.32
Brassica nigra,0.65
Holcus lanatus,1.68
Lactuca saligna,2.53
Rumex acetosa,3.42
Coincya wrightii,1.04
Cichorium intybus,1.31
Prunella vulgaris,0.69
Malus sylvestris,0.84
Agrostemma githago,2.25
Reseda luteola,0.69
Prunus domestica,0.74
Scabiosa columbaria,1.15
Malus Domestica 'Brown Snout',0.82
Malus Domestica 'Blenheim Orange',1.23
Malus Domestica 'Kingston Black',0.84
Malus Domestica 'Breakwells seedling',0.81
Malus Domestica 'Park Farm Pippin',0.86
Malus Domestica 'Worcester Pearman',0.83
Malus Domestica 'Asmeads Kernel',1.23
Malus Domestica 'Fiesta',0.81
Malus Domestica 'Decio',0.83
Malus Domestica 'Robusta 5',0.80
Asplenium viride,4.52
Carex bigelowii,0.48
Diapensia lapponica,2.18
Loiseleuria  procumbens,0.69
Vaccinium uliginosum,1.35
Lysimachia  nemorum,1.75
Juglans regia,1.47
Reynoutria sachalinensis,2.11
Poplus tremula,0.53
Scilla verna,6.89
Ophrys apifera,11.39
Verbascum thapsus,0.42
Hydrocotyle vulgaris,1.05
Carex caryophyllea,0.60
Carex rostrata,0.44
Dactylorhiza incarnata,6.50
Selaginella selaginoides,0.40
Eleocharis quinqueflora,0.62
Carex nigra,0.48
Triglochin palustris,0.56
Papaver rhoeas,5.40
Veronica serpylifolia,0.44
Capsella bursa-pastoris,0.40
Fontinalis squamosa,1.21
Sphagnum  contortum,0.44
Sphagnum medium,0.57
Sphagnum  papillosum,0.48
Straminergon  stramineum,0.40
Marsupella aquatica,0.29
Sphagnum angustifolium,0.45
Pseudobryum cinchoides,2.18
Tetraphis pellucida,0.61
Sphagnum  fimbriatum,0.50
Bryum weigelii,0.72
Sphagnum tenellum,0.44
Bryum pallens,1.06
Viola tricolor,2.08
Oxyria digyna,1.24
Trifolium pratense,0.47
Linum bienne,0.62
Fraxinus excelsior,0.92
Montia fontana,0.66
Digitalis purpurea,1.06
Hymenoloma crispulum,0.37
Sterodon callichrous,0.37
Entodon concinnus,0.49
Plagiopus oederianus,0.32
Anoectangium aestivum,0.32
Rhytidium rugosum,0.43
Paraleucobryum longifolium,0.70
Distichium capillaceum,0.36
Herbertus stramineus,0.76
Climaceum dendroides,0.51
Marchantia polymorpha subsp. motivagans,0.38
Melampyrum pratense,7.51
Phegopteris connectilis,7.23
Angelica archangelica,3.24
Pedicularis  palustris,2.20
Hippuris vulgaris,0.70
Echium vulgare,0.89
Potentilla fruticose,0.57
Alchemilla alpina,1.80
Silene acaulis,1.62
Tofielda pusilla,0.85
Salix reticulata,0.51
Ophioglossum vulgatum,23.93
Alisma plantago-aquatica,10.58
Anacamptis pyramidalis,12.39
Dactylorhiza fuchsii,6.03
Lonicera periclymenum,3.11
Quercus robur,1.01
Astragulus  glycyphyllos,0.85
Geranium columbinum,0.66
Polygala vulgaris,0.98
Brachypodium sylvaticum,0.44
Corylus avellana,0.42
Orobanche minor,3.06
Linum catharticum,0.74
Cephalanthera  damasonium,18.90
Anthyllis  vulneraria,0.42
Reseda luteola,0.65
Spergularia marina,0.60
Ligusticum scoticum,3.24
Malva moschata,1.51
Leymus arenarius,19.01
Vaccinium uliginosum,1.61
Diphasiastrum alpinum,3.99
Huperzia selago,10.53
Salix herbacea,0.49
Scheuchzaria palustris,0.62
Narthecium ossifragum,0.49
Drosera anglica,2.81
Anagallis arvensis,1.26
Chenopodium album,2.04
Papaver somniferum,3.21
Nuphar pumila,2.65
Tilia cordata,1.08
Malva arborea,0.76
Teucrium chamaedrys,1.81
Schoenoplectus triqueter,0.71
Valeriana officinalis,3.55
Phyteuma spicatum,1.25
Filago pyramidata,0.75
Sparghanium erectum,0.58
Eryngium  camptestre,0.98
Kickxia elatine,1.56
Ulex minor,1.13
Pyrus cordata,0.64
Phyteuma orbiculare,1.28
Limonium bivervosum,3.57
Menyanthes trifoliata,1.79
Polygala amarella,0.49
Allium schoenoprasum,7.77
Littorella uniflora,6.28
Cornus suecica,1.09
Potamogeton polygonifolius,0.43
Geranium sylvaticum,2.27
Salix arbuscula,0.45
Salix aurita,0.50
Bistorta vivipara,4.28
Vaccinium  vitis-idaea,0.64
Cerastium fontanum,2.80
Malus domestica 'Bardsey',0.81
Malus domestica 'Harvey',0.84
Equisetum  sylvaricum,13.05
Campanula rotundifolia,1.01
Hypericum perfoliatum,0.84
Salix cinerea,0.85
Salix phylicifolia,1.00
Salix caprea,1.03
Lythrum portula,0.30
Ceratophyllum demersum,1.03
Limosella aquatica,0.76
Avenella flexuosa,4.30
Arisitolochia  clematitis,0.55
Lemna minuta,0.37
Spirodela polyrhiza,0.36
Lemna gibba,0.49
Lemna trisulca,0.54
Ulmus plotii,1.48
Herbertus borealis,1.16
Antitrichia curtipendula,0.48
Grimmia funalis,0.34
Hedwigia stellatum,0.26
Sphagnum fuscum,0.51
Rhynchostegium sp.,0.39
Hyocomium armoricum,0.41
