Plant group,Taxonomic Division,Family,Genus,Species,NCBI name (if different),Status,Priority,Collected in 2020,"""Black list"" (collected/sequenced by others)",Collected by RBGE after jan2021,Collected by RBGE after jan2022,Shipping,Notes
bryophyte,Liverwort,Cephaloziaceae,Cephalozia,ambigua,,dtol,,,,,,,
bryophyte,Liverwort,Cephaloziaceae,Cephalozia,bicuspidata,,dtol_family_representative,yes,,,,yes,,Small plants
bryophyte,Liverwort,Cephaloziaceae,Cephalozia,catenulata,,dtol,,,,,,,
bryophyte,Liverwort,Cephaloziaceae,Cephalozia,connivens,,dtol,,,,,,,
bryophyte,Liverwort,Cephaloziaceae,Cephalozia,crassifolia,,dtol,,,,,,,
bryophyte,Liverwort,Cephaloziaceae,Cephalozia,curvifolia,,dtol,,,,yes,,RBGE_000021,
bryophyte,Liverwort,Cephaloziaceae,Cephalozia,leucantha,,dtol,,,,,,,
bryophyte,Liverwort,Cephaloziaceae,Cephalozia,loitlesbergeri,,dtol,,,,,,,
bryophyte,Liverwort,Cephaloziaceae,Cephalozia,lunulifolia,,dtol,,,,,,,
bryophyte,Liverwort,Cephaloziaceae,Cephalozia,macrostachya,,dtol,,,,,,,
bryophyte,Liverwort,Cephaloziaceae,Cephalozia,pleniceps,,dtol,,,,,,,
bryophyte,Liverwort,Cephaloziaceae,Odontoschisma,denudatum,,dtol,,,,,,,
bryophyte,Liverwort,Cephaloziaceae,Odontoschisma,elongatum,,dtol,,,,,,,
bryophyte,Liverwort,Cephaloziaceae,Odontoschisma,fluitans,,dtol,,,,,,,
bryophyte,Liverwort,Cephaloziaceae,Odontoschisma,francisci,,dtol,,,,,,,
bryophyte,Liverwort,Cephaloziaceae,Odontoschisma,macounii,,dtol,,,,,,,
bryophyte,Liverwort,Cephaloziaceae,Odontoschisma,sphagni,,dtol_other_priority,yes,,,,yes,,Small plants
bryophyte,Liverwort,Cephaloziellaceae,Cephaloziella,baumgartneri,,dtol,,,,,,,
bryophyte,Liverwort,Cephaloziellaceae,Cephaloziella,calyculata,,dtol,,,,,,,
bryophyte,Liverwort,Cephaloziellaceae,Cephaloziella,dentata,,dtol,,,,,,,
bryophyte,Liverwort,Cephaloziellaceae,Cephaloziella,divaricata,,dtol_other_priority,yes,,,yes,,,Small plants
bryophyte,Liverwort,Cephaloziellaceae,Cephaloziella,elachista,,dtol,,,,,,,
bryophyte,Liverwort,Cephaloziellaceae,Cephaloziella,hampeana,,dtol,,,,,,,Small plants
bryophyte,Liverwort,Cephaloziellaceae,Cephaloziella,integerrima,,dtol,,,,,,,
bryophyte,Liverwort,Cephaloziellaceae,Cephaloziella,massalongi,,dtol,,,,,,,
bryophyte,Liverwort,Cephaloziellaceae,Cephaloziella,nicholsonii,,dtol,,,,,,,
bryophyte,Liverwort,Cephaloziellaceae,Cephaloziella,rubella,,dtol,,,,,,,
bryophyte,Liverwort,Cephaloziellaceae,Cephaloziella,spinigera,,dtol,,,,,,,
bryophyte,Liverwort,Cephaloziellaceae,Cephaloziella,stellulifera,,dtol,,,,,,,
bryophyte,Liverwort,Cephaloziellaceae,Cephaloziella,turneri,,dtol,,,,,,,
bryophyte,Liverwort,Cephaloziellaceae,Obtusifolium,obtusum,,dtol_family_representative,yes,,,,,,
bryophyte,Liverwort,Cephaloziellaceae,Oleolophozia,perssonii,,dtol,,,,,,,
bryophyte,Liverwort,Cephaloziellaceae,Protolophozia,herzogiana,,dtol,,,,,,,
bryophyte,Liverwort,Cleveaceae,Clevea,hyalina,,dtol_family_representative,yes,,,,,,Very rare (2 hectads)
bryophyte,Liverwort,Conocephalaceae,Conocephalum,conicum,,dtol_family_representative,yes,yes,,yes,,,
bryophyte,Liverwort,Conocephalaceae,Conocephalum,salebrosum,,dtol_other_priority,yes,,,yes,,RBGE_000016,
bryophyte,Liverwort,Dumortieraceae,Dumortiera,hirsuta,,dtol_family_representative,yes,,,,,,
bryophyte,Liverwort,Endogemmaceae,Endogemma,caespiticia,,dtol_family_representative,yes,,,,,,"Very rare, erratic, seasonal, small"
bryophyte,Liverwort,Fossombroniaceae,Fossombronia,angulosa,,dtol,,,,,,,
bryophyte,Liverwort,Fossombroniaceae,Fossombronia,caespitiformis,,dtol,,,,,,,
bryophyte,Liverwort,Fossombroniaceae,Fossombronia,fimbriata,,dtol,,,,,,,
bryophyte,Liverwort,Fossombroniaceae,Fossombronia,foveolata,,dtol,,,,,,,
